,TweetID,TweetContent,TweeterUsername,TweetDatetime,TweetLongitude,TweetLatitude,TweetPlace
392,1543319908100050944,"Day 1 of #Ride4Vape with almost no complications ;) Happy, exhausted and very focused on our mission: Vaping is no smoking! Differentiate!! #vaping 

https://t.co/pKQQ1oOleY",europeanvaping,2022-07-02 19:45:14+00:00,,,
393,1543319709046775811,Just posted a photo @ Caribbean VAPES https://t.co/CXxFCxZNec,CaribbeanVapes,2022-07-02 19:44:26+00:00,,,
394,1543319578352095232,joe and bash when they saw kit vaping https://t.co/WleJdpPdiY,xu_taos,2022-07-02 19:43:55+00:00,,,
395,1543319547805302784,Just sat in my local pub waiting for my meal and after I’ve eaten I will be sitting and vaping my prescription cannabis flower inside if it’s too cold outside while I wait for the band to start 😊👌💚 #ProjectTwenty21 https://t.co/LH6QISvWzR,crazyjane125,2022-07-02 19:43:48+00:00,,,
396,1543319539617759234,My only issue with the chargeable vapes is that they never officially “run out” so you have to inhale 3 campfires worth of fumes before your lungs are of the verge of collapse and you FINALLY begin the 7 stages of grief.,lightitlaur,2022-07-02 19:43:46+00:00,,,
397,1543319397984509952,Brittney Griner faces 10 yrs over vape cartridge with cannabis oil in Ru... https://t.co/4tHA84kVkz via @YouTube,Lafaith,2022-07-02 19:43:12+00:00,,,
398,1543319165402054656,smoking is just vaping for cavemen,maelyndinky,2022-07-02 19:42:17+00:00,,,
399,1543319152344985600,i find it so unattractive when ppl vape..like bitch why are u killing urself,marktheeleo,2022-07-02 19:42:14+00:00,,,
400,1543318981737517057,"You vape, I blow into my samosa to cool it down
We not the same bro",Parth_4950,2022-07-02 19:41:33+00:00,,,
401,1543318688522199042,told my mum i vape and her response was be careful u dont want mouth wrinkles,ultrvioIent,2022-07-02 19:40:23+00:00,,,
402,1543318683954601986,me later if my new vape coils don't show up in the mail https://t.co/uqRJDR3FWN,shoesontwt,2022-07-02 19:40:22+00:00,,,
403,1543318621350404096,No company on Earth makes a reliable 510 vape pen that won't die after like 3 recharges,OnPlanetJake,2022-07-02 19:40:07+00:00,,,
404,1543318397483614208,Why the 🦆 do people think its ok to vape on the train......,TheatreScribbl1,2022-07-02 19:39:14+00:00,,,
405,1543318097267810306,"🇺🇸💨🟢Stop by on the #FourthofJuly for our @GreenDotLabs Black Label sale! Save 2⃣0⃣% on these terpy #GreenDot dabs and vape carts!🟢💨🇺🇸
#Denver #dispensary #HappyFourthOfJuly #4thOfJuly #4thofjulysale #Mmemberville #vapefam #CannabisCommunity #cannabisculture #IAmAPurest https://t.co/2f9hC3kX3q",SimplyPureMJ,2022-07-02 19:38:02+00:00,,,
406,1543317850953170944,"“can i hit ur vape?”

ya which one https://t.co/HhtzUJFa7C",alyssaliteralIy,2022-07-02 19:37:03+00:00,,,
407,1543317245841006595,she a 10 but she won’t but that vape down 😂,SideNiggaJas,2022-07-02 19:34:39+00:00,,,
408,1543316966852673536,You think kids like drinking or smoking or even vaping…. No they do it to avoid the pain in life….,Quotesforyoii,2022-07-02 19:33:32+00:00,,,
409,1543316864620797952,PHOTO: Fans Suspect Pregnant ‘Teen Mom’ Star Was Vaping https://t.co/oceMuGZmXW,adabagcompany,2022-07-02 19:33:08+00:00,,,
410,1543316800737120257,pirates of the caribbean ride water as a juul pod,emogob,2022-07-02 19:32:53+00:00,,,
411,1543316774267113472,imma stop vaping before i turn 20. that’s too grown to be blowing mint in somebody face 🙄,candyyjanae,2022-07-02 19:32:47+00:00,,,
412,1543316719330025472,Married dude asked her on a date but he's boring so now shes vaping https://t.co/Ngir7OkMvt,TheOnlyHunty,2022-07-02 19:32:33+00:00,,,
413,1543316465763459072,"okay I have found some room on a credit card, will get a few grocieries and replace the goddamn vape charger.",rebrandedslut,2022-07-02 19:31:33+00:00,,,
414,1543316395823448064,Haven’t been to the dentist since I started and stopped vaping the way I’m dreading this appointment on Wednesday 💀,faavourr,2022-07-02 19:31:16+00:00,,,
415,1543316232816005121,My vape died too I’m actually gna scream.,SADITYK1TTY,2022-07-02 19:30:37+00:00,,,
416,1543316177723826178,i don’t vape because i’m trying to quit smoking or even because i enjoy the feeling of nicotine. i vape because i love to experience the feeling of shitting every 2 hours.,manonmccollum,2022-07-02 19:30:24+00:00,,,
417,1543315588357013505,a 13 year old just asked me to buy them a vape. is this what our society has come to??😭,ryaahashanii,2022-07-02 19:28:04+00:00,,,
418,1543315575287455744,"Many consumers who purchase CBD vape pens believe the product is defective when the CBD crystallizes. However, that’s not the case. Read on to find out why. #MaximumYield #Cannabis #CBD

https://t.co/ZrNASO9ubt",Max_Yield,2022-07-02 19:28:01+00:00,,,
419,1543315353765351425,I think it's such a slay how everyone went from acoustic cancer to electric. Like WEAR SUN SCREEN and DONT SMOKE but sun beds and vaping are all the rage now,raynaistired,2022-07-02 19:27:08+00:00,,,
420,1543315060570742784,My skin would be so clear if I just quit vaping.,alehcaltitude,2022-07-02 19:25:58+00:00,,,
421,1543314669800001536,"Threw away the vape, gotta start somewhere 🥴",faniamix,2022-07-02 19:24:25+00:00,,,
422,1543314397954600960,Wakes up *vapes*,meowchell_,2022-07-02 19:23:20+00:00,,,
423,1543313941299748864,"Why would anyone be so foolish than to travel to a foreign country with vape cartridges &amp; cannabis oil in their luggage? 
Talk about looking for trouble. No one is above the law.
Have to wonder why her luggage wasn't checked before she departed the U.S.🤷‍♀️
#BrittanyGriner",nougat_c,2022-07-02 19:21:31+00:00,,,
424,1543313615788429312,my coworkers saying they never smelt the flavor vape I’m smoking... baby this is kush I don’t smoke e-cigarettes.,justmyallure,2022-07-02 19:20:14+00:00,,,
425,1543313429259292672,my problem is I expect the whole world to do a slow spin and my entire body I shut down when I meet the love of my life and this is why romance novels will ruin ur life because what reality offers is boys offering to share their vape with you in dirty clubs,blahvya,2022-07-02 19:19:29+00:00,,,
426,1543313170055319552,im obsessed with thc vapes now lol my mind is so blown by them,gahtt0,2022-07-02 19:18:27+00:00,,,
427,1543312317877813248,keat’s vaping kale again,magictoasterhq,2022-07-02 19:15:04+00:00,,,
428,1543312309388546049,"Looking to keep things simple this #710?

Our Vape Pens are perfect for on-the-go. No mess, no stress!

*content for educational and showcase purposes
*nothing for sale
*must be 21+ https://t.co/yo6ghE0iiz",surterra,2022-07-02 19:15:02+00:00,,,
429,1543312249149968390,#gin and (vape)  #juice https://t.co/6wBOIlkpB5,Retrob621,2022-07-02 19:14:48+00:00,-2.395942,54.114204,"Clapham, England"
430,1543312193890009089,I can have a vape in my hand w my name on it that belongs to me that no other living human being has ever hit but me and I’ll still ask my boys “bro can I hit your vape”,jonzoso,2022-07-02 19:14:35+00:00,4.7288999,52.2782266,"Amsterdam, The Netherlands"
431,1543312108250492928,"Thats what all the guys at work call em lol. Even when I was vaping and someone said douche flute. I didnt take offence, Just strt pretending I’m playing like I’m a Pied Piper 😂 https://t.co/8umGRvsGe8",HarlySheen,2022-07-02 19:14:14+00:00,,,
432,1543312046082637825,the way our generation was on track to become the first without a nicotine addiction and then vapes hit,babyscuIIy,2022-07-02 19:13:59+00:00,,,
433,1543311798182502409,Smoking out the enemy: How Ukraine is using e-cigarettes to fight a drone war against Russia - https://t.co/M97znYAg3X -Resourceful Ukrainians are using batteries from discarded vape pens as a way to power drones on the front line. Bel Trew reports from a lab in Kyiv where pro...,In_site_updates,2022-07-02 19:13:00+00:00,,,
434,1543311739550400512,"A Scientology Centre, a clothing store branded as luxury with a money transfer service inside as well as a vape shop. https://t.co/3a30cxg5Xn",mchkzn,2022-07-02 19:12:46+00:00,,,
435,1543310764248670208,My new (pink!) Vape battery creates interference in my Bluetooth earbuds,xmeatsx,2022-07-02 19:08:54+00:00,,,
436,1543309783150858241,"Loving this #lemondrop disposable vape pen from @buzzed_extracts 🤩🤤 so tasty! Perfect for on the go!

📸 iron.lung.lady

https://t.co/bdzrWNcvB4

#cannabiscures #cannabiscommunity #cannabisculture https://t.co/f2Y2tCBpUv",BuzzedExtracts,2022-07-02 19:05:00+00:00,,,
437,1543309690783686659,"For your safety and comfort, this station operates a no vaping policy. Trust no-one.",traindroid_se,2022-07-02 19:04:38+00:00,,,
438,1543309687633969152,just saw a guy sucking on a vape like a penis,dallas_quinlan,2022-07-02 19:04:37+00:00,,,
439,1543309622898991106,i need a new vape guys what flavour should i try now,Bumi67596505,2022-07-02 19:04:22+00:00,,,
440,1543309619266830337,Greg Gutfeld looks like if a Reason article defending date rape gained sentience and started vaping,Bitterwhiteguy,2022-07-02 19:04:21+00:00,,,
441,1543309253854756867,The FDA banned Juul. So what's next? https://t.co/AY9r4gIzvo,WEHTWTVWlocal,2022-07-02 19:02:54+00:00,,,
442,1543309198695481345,If u die can i please have ur vape,saiintpablo,2022-07-02 19:02:40+00:00,,,
443,1543308604555534336,"James Frantz, a trial attorney at James Frantz Law Group representing Californians who claim to have been harmed by the company, joined Cheddar News to talk about what he sees as the benefits of banning Juul. 
 https://t.co/7mygC3NWpk https://t.co/cSesLoPeow",JJAlwaysON,2022-07-02 19:00:19+00:00,,,
444,1543308552806211585,Vape + Taylor,itsaweirdw0rld,2022-07-02 19:00:06+00:00,,,
445,1543308351244603393,"People who do tech house that 
Can’t get my little ass to rap on their beats unless they answer a complicated serious of riddles and find me DMT vapes
Think that they are going to slang beats to big time black Rappers And rnb singers 
Is truly special",dances,2022-07-02 18:59:18+00:00,,,
446,1543308287604670464,Vaping by far is the hardest thing to quit.,cantkilbadgrass,2022-07-02 18:59:03+00:00,,,
447,1543308269980098560,just watched a cop vape,idrinkmilkxox,2022-07-02 18:58:59+00:00,,,
448,1543308191353647105,Let's get that juul appeal to this supreme court,NYCLAPDX,2022-07-02 18:58:40+00:00,,,
